0,135 
0,380 
0,195 
0,326 
1,448 
0,150 
0,259 
0,479 
0,209 
0,023 
0,162 
1,366 
0,068 
0,009 
0,420 
0,373 
0,030 
0,324 
0,634 
0,441 
0,433 
0,148 
0,118 
0,164 
0,084 
0,265 
0,131 
0,049 
0,634 
0,441 
0,433 
0,148 
0,118 
0,164 
0,084 
0,265 
0,131 
0,049 
0,634 
0,441 
0,433 
0,148 
0,118 
0,164 
0,084 
0,265 
0,131 
0,049 
0,634 
0,441 
0,433 
0,148 
0,118 
0,164 
0,084 
0,265 
0,131 
0,049 
0,634 
0,441 
0,433 
0,148 
0,118 
0,164 
0,084 
0,265 
0,131 
0,049 
0,634 
0,441 
0,433 
0,148 
0,118 
0,164 
0,084 
0,265 
0,131 
0,049 
0,634 
0,441 
0,433 
0,148 
0,118 
0,164 
0,084 
0,265 
0,131 
0,049 
0,634 
0,441 
0,433 
0,148 
0,118 
0,164 
0,084 
0,265 
0,131 
0,049 
0,634 
0,441 
